name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Leomund's Tiny Hut,3,Evocation,1 minute,Self (10-foot-radius hemisphere),V S M,a small crystal bead,8 hours,false,true,"A 10-foot-radius immobile dome of force springs into existence around and above you and remains stationary for the duration. The spell ends if you leave its area. Nine creatures of Medium size or smaller can fit inside the dome with you.",,OFFICIAL
Lightning Bolt,3,Evocation,1 action,Self (100-foot line),V S M,a bit of fur and a rod of amber crystal or glass,Instantaneous,false,false,"A stroke of lightning forming a line 100 feet long and 5 feet wide blasts out from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 8d6 lightning damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd.",OFFICIAL
Magic Circle,3,Abjuration,1 minute,10 feet,V S M,holy water or powdered silver and iron worth at least 100 gp consumed,1 hour,false,false,"You create a 10-foot-radius, 20-foot-tall cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear wherever the cylinder intersects with the floor or other surface.","When you cast this spell using a spell slot of 4th level or higher, the duration increases by 1 hour for each slot level above 3rd.",OFFICIAL
Major Image,3,Illusion,1 action,120 feet,V S M,a bit of fleece,10 minutes,true,false,"You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 20-foot cube. The image appears at a spot that you can see within range and lasts for the duration. It seems completely real, including sounds, smells, and temperature appropriate to the thing depicted.","When you cast this spell using a spell slot of 6th level or higher, the spell lasts until dispelled, without requiring your concentration.",OFFICIAL
Mass Healing Word,3,Evocation,1 bonus action,60 feet,V,,Instantaneous,false,false,"As you call out words of restoration, up to six creatures of your choice that you can see within range regain hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.","When you cast this spell using a spell slot of 4th level or higher, the healing increases by 1d4 for each slot level above 3rd.",OFFICIAL
Meld into Stone,3,Transmutation,1 action,Touch,V S,,8 hours,false,true,"You step into a stone object or surface large enough to fully contain your body, melding yourself and all the equipment you carry with the stone for the duration.",,OFFICIAL
Melf's Minute Meteors,3,Evocation,1 action,Self,V S M,niter sulfur and pine tar formed into a bead,10 minutes,true,false,"You create six tiny meteors in your space. They float in the air and orbit you for the spell's duration. When you cast the spell, and as a bonus action on each of your turns thereafter, you can expend one or two of the meteors, sending them streaking toward a point or points you choose within 120 feet of you.","When you cast this spell using a spell slot of 4th level or higher, the number of meteors created increases by two for each slot level above 3rd.",OFFICIAL
Nondetection,3,Abjuration,1 action,Touch,V S M,a pinch of diamond dust worth 25 gp sprinkled over the target consumed,8 hours,false,false,"For the duration, you hide a target that you touch from divination magic. The target can be a willing creature or a place or an object no larger than 10 feet in any dimension.",,OFFICIAL
Phantom Steed,3,Illusion,1 minute,30 feet,V S,,1 hour,false,true,"A Large quasi-real, horselike creature appears on the ground in an unoccupied space of your choice within range. You decide the creature's appearance, but it is equipped with a saddle, bit, and bridle. The creature uses the statistics for a riding horse.",,OFFICIAL
Plant Growth,3,Transmutation,1 action or 8 hours,150 feet,V S,,Instantaneous,false,false,"This spell channels vitality into plants within a specific area. There are two possible uses for the spell, granting either immediate or long-term benefits.",,OFFICIAL
Protection from Energy,3,Abjuration,1 action,Touch,V S,,1 hour,true,false,"For the duration, the willing creature you touch has resistance to one damage type of your choice: acid, cold, fire, lightning, or thunder.",,OFFICIAL
Remove Curse,3,Abjuration,1 action,Touch,V S,,Instantaneous,false,false,"At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner's attunement to the object so it can be removed or discarded.",,OFFICIAL
Revivify,3,Necromancy,1 action,Touch,V S M,diamonds worth 300 gp consumed,Instantaneous,false,false,"You touch a creature that has died within the last minute. That creature returns to life with 1 hit point. This spell can't return to life a creature that has died of old age, nor can it restore any missing body parts.",,OFFICIAL
Sending,3,Evocation,1 action,Unlimited,V S M,a short piece of fine copper wire,1 round,false,false,"You send a short message of twenty-five words or less to a creature with which you are familiar. The creature hears the message in its mind, recognizes you as the sender if it knows you, and can answer in a like manner immediately.",,OFFICIAL
Sleet Storm,3,Conjuration,1 action,150 feet,V S M,a pinch of dust and a few drops of water,1 minute,true,false,"Until the spell ends, freezing rain and sleet fall in a 20-foot-tall cylinder with a 40-foot radius centered on a point you choose within range. The area is heavily obscured, and exposed flames in the area are doused.",,OFFICIAL
Slow,3,Transmutation,1 action,120 feet,V S M,a drop of molasses,1 minute,true,false,"You alter time around up to six creatures of your choice in a 40-foot cube within range. Each target must succeed on a Wisdom saving throw or be affected by this spell for the duration.",,OFFICIAL
Speak with Dead,3,Necromancy,1 action,10 feet,V S M,burning incense,10 minutes,false,false,"You grant the semblance of life and intelligence to a corpse of your choice within range, allowing it to answer the questions you pose. The corpse must still have a mouth and can't be undead.",,OFFICIAL
Speak with Plants,3,Transmutation,1 action,Self (30-foot radius),V S,,10 minutes,false,false,"You imbue plants within 30 feet of you with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands.",,OFFICIAL
Spirit Guardians,3,Conjuration,1 action,Self (15-foot radius),V S M,a holy symbol,10 minutes,true,false,"You call forth spirits to protect you. They flit around you to a distance of 15 feet for the duration. If you are good or neutral, their spectral form appears angelic or fey (your choice). If you are evil, they appear fiendish. When you cast this spell, you can designate any number of creatures you can see to be unaffected by it.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for each slot level above 3rd.",OFFICIAL
Spirit Shroud,3,Necromancy,1 bonus action,Self,V S,,1 minute,true,false,"You call forth spirits of the dead, which flit around you for the spell's duration. The spirits are intangible and invulnerable. Until the spell ends, any attack you make deals 1d8 extra damage when you hit a creature within 10 feet of you. This damage is radiant, necrotic, or cold (your choice when you cast the spell).","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for every two slot levels above 3rd.",OFFICIAL
Stinking Cloud,3,Conjuration,1 action,90 feet,V S M,a rotten egg or several skunk cabbage leaves,1 minute,true,false,"You create a 20-foot-radius sphere of yellow, nauseating gas centered on a point within range. The cloud spreads around corners, and its area is heavily obscured. The cloud lingers in the air for the duration.",,OFFICIAL
Summon Fey,3,Conjuration,1 action,90 feet,V S M,a gilded flower worth at least 300 gp,1 hour,true,false,"You call forth a fey spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Fey Spirit stat block. When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy.","When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Summon Lesser Demons,3,Conjuration,1 action,60 feet,V S M,a vial of blood from a humanoid killed within the past 24 hours,1 hour,true,false,"You utter foul words, summoning demons from the chaos of the Abyss. Roll on the following table to determine what appears.","When you cast this spell using a spell slot of 6th or 7th level, you summon twice as many demons. If you cast it using an 8th or 9th level slot, you summon three times as many demons.",OFFICIAL
Summon Shadowspawn,3,Conjuration,1 action,90 feet,V S M,tears inside a gem worth at least 300 gp,1 hour,true,false,"You call forth a shadowy spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Shadow Spirit stat block. When you cast the spell, choose an emotion: Fury, Despair, or Fear.","When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Summon Undead,3,Necromancy,1 action,90 feet,V S M,a gilded skull worth at least 300 gp,1 hour,true,false,"You call forth an undead spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Undead Spirit stat block. When you cast the spell, choose the creature's form: Ghostly, Putrid, or Skeletal.","When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Thunder Step,3,Conjuration,1 action,90 feet,V,,Instantaneous,false,false,"You teleport yourself to an unoccupied space you can see within range. Immediately after you disappear, a thunderous boom sounds, and each creature within 10 feet of the space you left must make a Constitution saving throw, taking 3d10 thunder damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d10 for each slot level above 3rd.",OFFICIAL
Tidal Wave,3,Conjuration,1 action,120 feet,V S M,a drop of water,Instantaneous,false,false,"You conjure up a wave of water that crashes down on an area within range. The area can be up to 30 feet long, up to 10 feet wide, and up to 10 feet tall. Each creature in that area must make a Dexterity saving throw. On a failed save, a creature takes 4d8 bludgeoning damage and is knocked prone.",,OFFICIAL
Tiny Servant,3,Transmutation,1 minute,Touch,V S,,8 hours,false,false,"You touch one Tiny, nonmagical object that isn't attached to another object or a surface and isn't being carried by another creature. The target animates and sprouts little arms and legs, becoming a creature under your control until the spell ends or the creature drops to 0 hit points.","When you cast this spell using a spell slot of 4th level or higher, you can animate two additional objects for each slot level above 3rd.",OFFICIAL
Tongues,3,Divination,1 action,Touch,V M,a small clay model of a ziggurat,1 hour,false,false,"This spell grants the creature you touch the ability to understand any spoken language it hears. Moreover, when the target speaks, any creature that knows at least one language and can hear the target understands what it says.",,OFFICIAL
Vampiric Touch,3,Necromancy,1 action,Self,V S,,1 minute,true,false,"The touch of your shadow-wreathed hand can siphon life force from others to heal your wounds. Make a melee spell attack against a creature within your reach. On a hit, the target takes 3d6 necrotic damage, and you regain hit points equal to half the amount of necrotic damage dealt.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd.",OFFICIAL
Wall of Sand,3,Evocation,1 action,90 feet,V S M,a handful of sand,10 minutes,true,false,"You create a wall of swirling sand on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 10 feet thick, and it vanishes when the spell ends.",,OFFICIAL
Wall of Water,3,Evocation,1 action,60 feet,V S M,a drop of water,10 minutes,true,false,"You create a wall of water on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 1 foot thick, or you can make a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick.",,OFFICIAL
Water Breathing,3,Transmutation,1 action,30 feet,V S M,a short reed or piece of straw,24 hours,false,true,"This spell grants up to ten willing creatures you can see within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.",,OFFICIAL
Water Walk,3,Transmutation,1 action,30 feet,V S M,a piece of cork,1 hour,false,true,"This spell grants the ability to move across any liquid surface, such as water, acid, mud, snow, quicksand, or lava, as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration.",,OFFICIAL
Wind Wall,3,Evocation,1 action,120 feet,V S M,a tiny fan and a feather of exotic origin,1 minute,true,false,"A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground.",,OFFICIAL
Arcane Eye,4,Divination,1 action,30 feet,V S M,a bit of bat fur,1 hour,true,false,"You create an invisible, magical eye within range that hovers in the air for the duration. You mentally receive visual information from the eye, which has normal vision and darkvision out to 30 feet.",,OFFICIAL
Aura of Life,4,Abjuration,1 action,Self (30-foot radius),V,,10 minutes,true,false,"Life-preserving energy radiates from you in an aura with a 30-foot radius. Until the spell ends, the aura moves with you, centered on you. Each nonhostile creature in the aura (including you) has resistance to necrotic damage, and its hit point maximum can't be reduced.",,OFFICIAL
Aura of Purity,4,Abjuration,1 action,Self (30-foot radius),V,,10 minutes,true,false,"Purifying energy radiates from you in an aura with a 30-foot radius. Until the spell ends, the aura moves with you, centered on you. Each nonhostile creature in the aura (including you) can't become diseased, has resistance to poison damage, and has advantage on saving throws against effects that cause any of the following conditions: blinded, charmed, deafened, frightened, paralyzed, poisoned, and stunned.",,OFFICIAL
Banishment,4,Abjuration,1 action,60 feet,V S M,an item distasteful to the target,1 minute,true,false,"You attempt to send one creature that you can see within range to another plane of existence. The target must succeed on a Charisma saving throw or be banished.","When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th.",OFFICIAL
Blight,4,Necromancy,1 action,30 feet,V S,,Instantaneous,false,false,"Necromantic energy washes over a creature of your choice that you can see within range, draining moisture and vitality from it. The target must make a Constitution saving throw. The target takes 8d8 necrotic damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d8 for each slot level above 4th.",OFFICIAL
Charm Monster,4,Enchantment,1 action,30 feet,V S,,1 hour,false,false,"You attempt to charm a creature you can see within range. It must make a Wisdom saving throw, and it does so with advantage if you or your companions are fighting it. If it fails the saving throw, it is charmed by you until the spell ends or until you or your companions do anything harmful to it.","When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th.",OFFICIAL
Compulsion,4,Enchantment,1 action,30 feet,V S,,1 minute,true,false,"Creatures of your choice that you can see within range and that can hear you must make a Wisdom saving throw. A target automatically succeeds on this saving throw if it can't be charmed. On a failed save, a target is affected by this spell.",,OFFICIAL
Confusion,4,Enchantment,1 action,90 feet,V S M,three nut shells,1 minute,true,false,"This spell assaults and twists creatures' minds, spawning delusions and provoking uncontrolled action. Each creature in a 10-foot-radius sphere centered on a point you choose within range must succeed on a Wisdom saving throw when you cast this spell or be affected by it.","When you cast this spell using a spell slot of 5th level or higher, the radius of the sphere increases by 5 feet for each slot level above 4th.",OFFICIAL
Conjure Minor Elementals,4,Conjuration,1 minute,90 feet,V S,,1 hour,true,false,"You summon elementals that appear in unoccupied spaces that you can see within range. You choose one of the following options for what appears: One elemental of challenge rating 2 or lower, two elementals of CR 1 or lower, four elementals of CR 1/2 or lower, or eight elementals of CR 1/4 or lower.","When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear.",OFFICIAL
Conjure Woodland Beings,4,Conjuration,1 action,60 feet,V S M,one holly berry per creature summoned,1 hour,true,false,"You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears: One fey creature of challenge rating 2 or lower, two fey creatures of CR 1 or lower, four fey creatures of CR 1/2 or lower, or eight fey creatures of CR 1/4 or lower.","When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear.",OFFICIAL
Control Water,4,Transmutation,1 action,300 feet,V S M,a drop of water and a pinch of dust,10 minutes,true,false,"Until the spell ends, you control any freestanding water inside an area you choose that is a cube up to 100 feet on a side. You can choose from any of the following effects when you cast this spell: Flood, Part Water, Redirect Flow, or Whirlpool.",,OFFICIAL
Death Ward,4,Abjuration,1 action,Touch,V S,,8 hours,false,false,"You touch a creature and grant it a measure of protection from death. The first time the target would drop to 0 hit points as a result of taking damage, the target instead drops to 1 hit point, and the spell ends.",,OFFICIAL
Dimension Door,4,Conjuration,1 action,500 feet,V,,Instantaneous,false,false,"You teleport yourself from your current location to any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction.",,OFFICIAL
Divination,4,Divination,1 action,Self,V S M,incense and a sacrificial offering appropriate to your religion worth at least 25 gp consumed,Instantaneous,false,true,"Your magic and an offering put you in contact with a god or a god's servants. You ask a single question concerning a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply.",,OFFICIAL
Dominate Beast,4,Enchantment,1 action,60 feet,V S,,1 minute,true,false,"You attempt to beguile a beast that you can see within range. It must succeed on a Wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.","When you cast this spell with a 5th-level spell slot, the duration is concentration, up to 10 minutes. When you use a 6th-level spell slot, the duration is concentration, up to 1 hour. When you use a spell slot of 7th level or higher, the duration is concentration, up to 8 hours.",OFFICIAL
Elemental Bane,4,Transmutation,1 action,90 feet,V S,,1 minute,true,false,"Choose one creature you can see within range, and choose one of the following damage types: acid, cold, fire, lightning, or thunder. The target must succeed on a Constitution saving throw or be affected by the spell for its duration.","When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th.",OFFICIAL
Evard's Black Tentacles,4,Conjuration,1 action,90 feet,V S M,a piece of tentacle from a giant octopus or a giant squid,1 minute,true,false,"Squirming, ebony tentacles fill a 20-foot square on ground that you can see within range. For the duration, these tentacles turn the ground in the area into difficult terrain. When a creature enters the affected area for the first time on a turn or starts its turn there, the creature must succeed on a Dexterity saving throw or take 3d6 bludgeoning damage and be restrained.",,OFFICIAL
Fabricate,4,Transmutation,10 minutes,120 feet,V S,,Instantaneous,false,false,"You convert raw materials into products of the same material. For example, you can fabricate a wooden bridge from a clump of trees, a rope from a patch of hemp, and clothes from flax or wool.",,OFFICIAL
Fire Shield,4,Evocation,1 action,Self,V S M,a bit of phosphorus or a firefly,10 minutes,false,false,"Thin and wispy flames wreathe your body for the duration, shedding bright light in a 10-foot radius and dim light for an additional 10 feet. You can end the spell early by using an action to dismiss it. The flames provide you with a warm shield or a chill shield, as you choose.",,OFFICIAL
Freedom of Movement,4,Abjuration,1 action,Touch,V S M,a leather strap bound around the arm or a similar appendage,1 hour,false,false,"You touch a willing creature. For the duration, the target's movement is unaffected by difficult terrain, and spells and other magical effects can neither reduce the target's speed nor cause the target to be paralyzed or restrained.",,OFFICIAL
Giant Insect,4,Transmutation,1 action,30 feet,V S,,10 minutes,true,false,"You transform up to ten centipedes, three spiders, five wasps, or one scorpion within range into giant versions of their natural forms for the duration.",,OFFICIAL
Grasping Vine,4,Conjuration,1 bonus action,30 feet,V S,,1 minute,true,false,"You conjure a vine that sprouts from the ground in an unoccupied space of your choice that you can see within range. When you cast this spell, you can direct the vine to lash out at a creature within 30 feet of it that you can see.",,OFFICIAL
Greater Invisibility,4,Illusion,1 action,Touch,V S,,1 minute,true,false,"You or a creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person.",,OFFICIAL
Guardian of Faith,4,Conjuration,1 action,30 feet,V,,8 hours,false,false,"A Large spectral guardian appears and hovers for the duration in an unoccupied space of your choice that you can see within range. The guardian occupies that space and is indistinct except for a gleaming sword and shield emblazoned with the symbol of your deity.",,OFFICIAL
Hallucinatory Terrain,4,Illusion,10 minutes,300 feet,V S M,a stone a twig and a bit of green plant,24 hours,false,false,"You make natural terrain in a 150-foot cube in range look, sound, and smell like some other sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain.",,OFFICIAL
Ice Storm,4,Evocation,1 action,300 feet,V S M,a pinch of dust and a few drops of water,Instantaneous,false,false,"A hail of rock-hard ice pounds to the ground in a 20-foot-radius, 40-foot-high cylinder centered on a point within range. Each creature in the cylinder must make a Dexterity saving throw. A creature takes 2d8 bludgeoning damage and 4d6 cold damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 5th level or higher, the bludgeoning damage increases by 1d8 for each slot level above 4th.",OFFICIAL
Leomund's Secret Chest,4,Conjuration,1 action,Touch,V S M,an exquisite chest 3 feet by 2 feet by 2 feet constructed from rare materials worth at least 5000 gp and a Tiny replica made from the same materials worth at least 50 gp,Instantaneous,false,false,"You hide a chest, and all its contents, on the Ethereal Plane. You must touch the chest and the miniature replica that serves as a material component for the spell.",,OFFICIAL
Locate Creature,4,Divination,1 action,Self,V S M,a bit of fur from a bloodhound,1 hour,true,false,"Describe or name a creature that is familiar to you. You sense the direction to the creature's location, as long as that creature is within 1,000 feet of you.",,OFFICIAL
Mordenkainen's Faithful Hound,4,Conjuration,1 action,30 feet,V S M,a tiny silver whistle a piece of bone and a thread,8 hours,false,false,"You conjure a phantom watchdog in an unoccupied space that you can see within range, where it remains for the duration, until you dismiss it as an action, or until you move more than 100 feet away from it.",,OFFICIAL
Mordenkainen's Private Sanctum,4,Abjuration,10 minutes,120 feet,V S M,a thin sheet of lead a piece of opaque glass a wad of cotton or cloth and powdered chrysolite,24 hours,false,false,"You make an area within range magically secure. The area is a cube that can be as small as 5 feet to as large as 100 feet on each side.","When you cast this spell using a spell slot of 5th level or higher, you can increase the size of the cube by 100 feet for each slot level beyond 4th.",OFFICIAL
Otiluke's Resilient Sphere,4,Evocation,1 action,30 feet,V S M,a hemispherical piece of clear crystal and a matching hemispherical piece of gum arabic,1 minute,true,false,"A sphere of shimmering force encloses a creature or object of Large size or smaller within range. An unwilling creature must make a Dexterity saving throw. On a failed save, the creature is enclosed for the duration.",,OFFICIAL
Phantasmal Killer,4,Illusion,1 action,120 feet,V S,,1 minute,true,false,"You tap into the nightmares of a creature you can see within range and create an illusory manifestation of its deepest fears, visible only to that creature. The target must make a Wisdom saving throw.","When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d10 for each slot level above 4th.",OFFICIAL
Polymorph,4,Transmutation,1 action,60 feet,V S M,a caterpillar cocoon,1 hour,true,false,"This spell transforms a creature that you can see within range into a new form. An unwilling creature must make a Wisdom saving throw to avoid the effect. The spell has no effect on a shapechanger or a creature with 0 hit points.",,OFFICIAL
Raulothim's Psychic Lance,4,Enchantment,1 action,120 feet,V,,Instantaneous,false,false,"You unleash a shimmering lance of psychic power from your forehead at a creature that you can see within range. Alternatively, you can utter a creature's name. The target must succeed on an Intelligence saving throw or take 7d6 psychic damage and be incapacitated until the start of your next turn.","When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d6 for each slot level above 4th.",OFFICIAL
Shadow of Moil,4,Necromancy,1 action,Self,V S M,an undead eyeball encased in a gem worth at least 150 gp,1 minute,true,false,"Flame-like shadows wreathe your body until the spell ends, causing you to become heavily obscured to others. The shadows turn dim light within 10 feet of you into darkness, and bright light in the same area to dim light.",,OFFICIAL
Sickening Radiance,4,Evocation,1 action,120 feet,V S,,10 minutes,true,false,"Dim, greenish light spreads within a 30-foot-radius sphere centered on a point you choose within range. The light spreads around corners, and it lasts until the spell ends.",,OFFICIAL
Staggering Smite,4,Evocation,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit a creature with a melee weapon attack during this spell's duration, your weapon pierces both body and mind, and the attack deals an extra 4d6 psychic damage to the target. The target must make a Wisdom saving throw. On a failed save, it has disadvantage on attack rolls and ability checks, and can't take reactions, until the end of its next turn.",,OFFICIAL
Stone Shape,4,Transmutation,1 action,Touch,V S M,soft clay which must be worked into roughly the desired shape of the stone object,Instantaneous,false,false,"You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape that suits your purpose.",,OFFICIAL
Stoneskin,4,Abjuration,1 action,Touch,V S M,diamond dust worth 100 gp consumed,1 hour,true,false,"This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell ends, the target has resistance to nonmagical bludgeoning, piercing, and slashing damage.",,OFFICIAL
Storm Sphere,4,Evocation,1 action,150 feet,V S,,1 minute,true,false,"A 20-foot-radius sphere of whirling air springs into existence, centered on a point you choose within range. The sphere remains for the spell's duration. Each creature in the sphere when it appears or that ends its turn there must succeed on a Strength saving throw or take 2d6 bludgeoning damage.","When you cast this spell using a spell slot of 5th level or higher, the damage for each of its effects increases by 1d6 for each slot level above 4th.",OFFICIAL
Summon Aberration,4,Conjuration,1 action,90 feet,V S M,a pickled tentacle and an eyeball in a platinum-inlaid vial worth at least 400 gp,1 hour,true,false,"You call forth an aberrant spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Aberrant Spirit stat block. When you cast the spell, choose Beholderkin, Slaad, or Star Spawn.","When you cast this spell using a spell slot of 5th level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Summon Construct,4,Conjuration,1 action,90 feet,V S M,an ornate stone and metal lockbox worth at least 400 gp,1 hour,true,false,"You call forth the spirit of a construct. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Construct Spirit stat block. When you cast the spell, choose a material: Clay, Metal, or Stone.","When you cast this spell using a spell slot of 5th level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Summon Elemental,4,Conjuration,1 action,90 feet,V S M,air fire water or earth inside a gold-inlaid vial worth at least 400 gp,1 hour,true,false,"You call forth an elemental spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Elemental Spirit stat block. When you cast the spell, choose an element: Air, Earth, Fire, or Water.","When you cast this spell using a spell slot of 5th level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Summon Greater Demon,4,Conjuration,1 action,60 feet,V S M,a vial of blood from a humanoid killed within the past 24 hours,1 hour,true,false,"You utter foul words, summoning one demon from the chaos of the Abyss. You choose the demon's type, which must be one of challenge rating 5 or lower.","When you cast this spell using a spell slot of 5th level or higher, the challenge rating increases by 1 for each slot level above 4th.",OFFICIAL
Vitriolic Sphere,4,Evocation,1 action,150 feet,V S M,a drop of giant slug bile,Instantaneous,false,false,"You point at a location within range, and a glowing, 1-foot-diameter ball of emerald acid streaks there and explodes in a 20-foot-radius sphere. Each creature in that area must make a Dexterity saving throw. On a failed save, a creature takes 10d4 acid damage and 5d4 acid damage at the end of its next turn.","When you cast this spell using a spell slot of 5th level or higher, the initial damage increases by 2d4 for each slot level above 4th.",OFFICIAL
Wall of Fire,4,Evocation,1 action,120 feet,V S M,a small piece of phosphorus,1 minute,true,false,"You create a wall of fire on a solid surface within range. You can make the wall up to 60 feet long, 20 feet high, and 1 foot thick, or a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick.","When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d8 for each slot level above 4th.",OFFICIAL
Watery Sphere,4,Conjuration,1 action,90 feet,V S M,a droplet of water,1 minute,true,false,"You conjure up a sphere of water with a 5-foot radius at a point you can see within range. The sphere can hover but no more than 10 feet off the ground. The sphere remains for the spell's duration.",,OFFICIAL
Animate Objects,5,Transmutation,1 action,120 feet,V S,,1 minute,true,false,"Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects.","When you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th.",OFFICIAL
Antilife Shell,5,Abjuration,1 action,Self (10-foot radius),V S,,1 hour,true,false,"A shimmering barrier extends out from you in a 10-foot radius and moves with you, remaining centered on you and hedging out creatures other than undead and constructs. The barrier lasts for the duration.",,OFFICIAL
Awaken,5,Transmutation,8 hours,Touch,V S M,an agate worth at least 1000 gp consumed,Instantaneous,false,false,"After spending the casting time tracing magical pathways within a precious gemstone, you touch a Huge or smaller beast or plant. The target must have either no Intelligence score or an Intelligence of 3 or less.",,OFFICIAL
Banishing Smite,5,Abjuration,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit a creature with a weapon attack before this spell ends, your weapon crackles with force, and the attack deals an extra 5d10 force damage to the target. Additionally, if this attack reduces the target to 50 hit points or fewer, you banish it.",,OFFICIAL
Bigby's Hand,5,Evocation,1 action,120 feet,V S M,an eggshell and a snakeskin glove,1 minute,true,false,"You create a Large hand of shimmering, translucent force in an unoccupied space that you can see within range. The hand lasts for the spell's duration, and it moves at your command.","When you cast this spell using a spell slot of 6th level or higher, the damage from the clenched fist option increases by 2d8 and the damage from the grasping hand increases by 2d6 for each slot level above 5th.",OFFICIAL
Circle of Power,5,Abjuration,1 action,Self (30-foot radius),V,,10 minutes,true,false,"Divine energy radiates from you, distorting and diffusing magical energy within 30 feet of you. Until the spell ends, the sphere moves with you, centered on you. For the duration, each friendly creature in the area (including you) has advantage on saving throws against spells and other magical effects.",,OFFICIAL
Cloudkill,5,Conjuration,1 action,120 feet,V S,,10 minutes,true,false,"You create a 20-foot-radius sphere of poisonous, yellow-green fog centered on a point you choose within range. The fog spreads around corners. It lasts for the duration or until strong wind disperses the fog, ending the spell.","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th.",OFFICIAL
Commune,5,Divination,1 minute,Self,V S M,incense and a vial of holy or unholy water,1 minute,false,true,"You contact your deity or a divine proxy and ask up to three questions that can be answered with a yes or no. You must ask your questions before the spell ends. You receive a correct answer for each question.",,OFFICIAL
Commune with Nature,5,Divination,1 minute,Self,V S,,Instantaneous,false,true,"You briefly become one with nature and gain knowledge of the surrounding territory. In the outdoors, the spell gives you knowledge of the land within 3 miles of you.",,OFFICIAL
